app_id,name,visual_style,genre,release_year,positive_pct,owners_estimate,total_reviews,price_usd,is_free
200023,IndieGame_0023,Pixel Art,Adventure,2019,83.0,14444,309,7.99,0
200024,IndieGame_0024,Hand-Drawn,RPG,2020,93.2,29648,622,4.99,0
200025,IndieGame_0025,Pixel Art,Puzzle,2023,92.5,355288,7126,4.99,0
200026,IndieGame_0026,Pixel Art,Horror,2018,74.4,265780,14916,12.99,0
200027,IndieGame_0027,Pixel Art,Simulation,2021,64.7,113778,5988,0.0,1
200028,IndieGame_0028,Cartoon,Adventure,2021,71.9,12397,604,0.0,1
200029,IndieGame_0029,Low Poly,Adventure,2016,77.6,45828,1358,12.99,0
200030,IndieGame_0030,Pixel Art,Action,2022,68.4,122081,4299,7.99,0
200031,IndieGame_0031,Low Poly,Puzzle,2017,65.4,71599,2378,2.99,0
200032,IndieGame_0032,Minimalist,Roguelike,2016,83.4,7112,161,4.99,0
200033,IndieGame_0033,Pixel Art,Adventure,2024,77.5,29202,1029,14.99,0
200034,IndieGame_0034,Hand-Drawn,Action,2025,82.3,66671,768,14.99,0
200035,IndieGame_0035,Pixel Art,Simulation,2023,70.4,161774,2683,9.99,0
200036,IndieGame_0036,Pixel Art,Horror,2019,75.7,6093,331,7.99,0
200037,IndieGame_0037,Minimalist,Simulation,2016,70.8,53508,2546,7.99,0
200038,IndieGame_0038,Pixel Art,Roguelike,2022,86.9,100918,3142,19.99,0
200039,IndieGame_0039,Low Poly,Puzzle,2020,85.4,160770,5764,19.99,0
200040,IndieGame_0040,Minimalist,Platformer,2017,61.5,149278,4254,2.99,0
200041,IndieGame_0041,Pixel Art,Action,2021,68.7,171012,8044,12.99,0
200042,IndieGame_0042,Low Poly,Platformer,2015,60.0,22209,1092,2.99,0
200043,IndieGame_0043,Pixel Art,Simulation,2024,71.5,8611,414,2.99,0
200044,IndieGame_0044,Voxel,Simulation,2018,70.2,23710,1093,9.99,0
200045,IndieGame_0045,Hand-Drawn,RPG,2022,67.5,239516,4844,7.99,0
200046,IndieGame_0046,Cartoon,RPG,2019,66.8,415239,11169,14.99,0
200047,IndieGame_0047,Low Poly,Horror,2021,65.0,136060,4556,0.99,0
200048,IndieGame_0048,Pixel Art,Roguelike,2021,80.1,142289,3776,7.99,0
200049,IndieGame_0049,Minimalist,RPG,2018,80.7,102509,4894,14.99,0
200050,IndieGame_0050,Voxel,RPG,2025,63.8,19496,516,14.99,0
200051,IndieGame_0051,Low Poly,Roguelike,2023,76.8,49618,839,2.99,0
200052,IndieGame_0052,Cartoon,Adventure,2024,70.5,578010,17312,4.99,0
200053,IndieGame_0053,Cartoon,RPG,2024,73.3,25169,1484,9.99,0
200054,IndieGame_0054,Pixel Art,Adventure,2021,94.7,590155,12566,2.99,0
200055,IndieGame_0055,Pixel Art,Adventure,2024,91.4,57755,2345,19.99,0
200056,IndieGame_0056,Low Poly,Puzzle,2016,62.0,284564,9006,14.99,0
200057,IndieGame_0057,Hand-Drawn,Adventure,2018,90.3,13309,180,2.99,0
200058,IndieGame_0058,Cartoon,Adventure,2016,84.1,157558,5419,0.99,0
200059,IndieGame_0059,Psychedelic,RPG,2019,61.5,16523,745,0.99,0
200060,IndieGame_0060,Hand-Drawn,Adventure,2020,90.2,13175,469,14.99,0
200061,IndieGame_0061,Pixel Art,Platformer,2019,93.4,110486,5922,2.99,0
200062,IndieGame_0062,Realistic,Roguelike,2023,58.8,151113,3694,7.99,0
200063,IndieGame_0063,Pixel Art,RPG,2019,68.8,30837,441,7.99,0
200064,IndieGame_0064,Cartoon,Roguelike,2019,86.2,12908,733,9.99,0
200065,IndieGame_0065,Hand-Drawn,Action,2021,84.7,64486,1864,0.0,1
200066,IndieGame_0066,Minimalist,RPG,2017,85.5,58525,2271,2.99,0
200067,IndieGame_0067,Pixel Art,Adventure,2023,81.4,164126,8140,14.99,0
200068,IndieGame_0068,Minimalist,Platformer,2016,83.9,203141,5325,14.99,0
200069,IndieGame_0069,Hand-Drawn,Roguelike,2025,68.7,67045,3071,12.99,0
200070,IndieGame_0070,Low Poly,RPG,2023,85.5,537563,9015,0.0,1
200071,IndieGame_0071,Pixel Art,Platformer,2018,89.7,111244,2732,4.99,0
200072,IndieGame_0072,Realistic,Roguelike,2015,67.7,29694,511,9.99,0
200073,IndieGame_0073,Cartoon,Action,2023,75.6,11277,570,4.99,0
200074,IndieGame_0074,Pixel Art,Simulation,2022,62.7,62020,1310,14.99,0
200075,IndieGame_0075,Pixel Art,Horror,2023,83.1,56768,2603,9.99,0
200076,IndieGame_0076,Pixel Art,Horror,2023,83.7,269082,15382,0.0,1
200077,IndieGame_0077,Minimalist,Action,2016,79.4,113223,4120,14.99,0
200078,IndieGame_0078,Low Poly,Simulation,2019,86.2,14086,521,19.99,0
200079,IndieGame_0079,Low Poly,Puzzle,2017,71.7,71317,2357,0.0,1
200080,IndieGame_0080,Pixel Art,Simulation,2024,83.6,190278,5003,9.99,0
200081,IndieGame_0081,Hand-Drawn,Puzzle,2022,71.8,450475,15218,4.99,0
200082,IndieGame_0082,Low Poly,RPG,2019,74.8,168249,6753,7.99,0
200083,IndieGame_0083,Hand-Drawn,Puzzle,2016,80.3,179411,10638,2.99,0
200084,IndieGame_0084,Voxel,Horror,2019,73.3,40841,2323,9.99,0
200085,IndieGame_0085,Pixel Art,Horror,2019,74.3,135453,7193,19.99,0
200086,IndieGame_0086,Minimalist,Platformer,2023,78.7,291136,15854,7.99,0
200087,IndieGame_0087,Hand-Drawn,Puzzle,2022,90.3,14546,485,0.99,0
200088,IndieGame_0088,Hand-Drawn,Platformer,2024,77.6,47339,2029,9.99,0
200089,IndieGame_0089,Minimalist,Horror,2020,63.9,25720,1408,4.99,0
200090,IndieGame_0090,Minimalist,Roguelike,2017,97.5,102449,3037,14.99,0
200091,IndieGame_0091,Voxel,Roguelike,2022,84.8,166309,9660,7.99,0
200092,IndieGame_0092,Pixel Art,Simulation,2023,65.1,41524,1278,2.99,0
200093,IndieGame_0093,Pixel Art,Simulation,2021,84.9,4827,193,2.99,0
200094,IndieGame_0094,Realistic,Simulation,2023,65.0,27439,1248,12.99,0
200095,IndieGame_0095,Low Poly,Puzzle,2021,77.6,173575,9985,4.99,0
200096,IndieGame_0096,Pixel Art,Simulation,2021,80.9,162034,3602,12.99,0
200097,IndieGame_0097,Pixel Art,Puzzle,2020,75.7,142092,6721,2.99,0
200098,IndieGame_0098,Pixel Art,Puzzle,2015,70.2,60743,2189,4.99,0
200099,IndieGame_0099,Cartoon,Adventure,2017,69.1,16808,393,7.99,0
200100,IndieGame_0100,Pixel Art,Adventure,2015,68.8,157748,7702,14.99,0
200101,IndieGame_0101,Hand-Drawn,Puzzle,2022,73.7,26457,995,14.99,0
200102,IndieGame_0102,Pixel Art,Roguelike,2019,77.3,1168606,50306,2.99,0
200103,IndieGame_0103,Hand-Drawn,Platformer,2021,74.8,142775,3732,4.99,0
200104,IndieGame_0104,Pixel Art,Horror,2024,84.8,42345,1442,2.99,0
200105,IndieGame_0105,Low Poly,Horror,2018,89.9,27848,1138,7.99,0
200106,IndieGame_0106,Pixel Art,RPG,2020,72.2,76029,2299,7.99,0
200107,IndieGame_0107,Cartoon,Action,2023,78.4,58516,1165,14.99,0
200108,IndieGame_0108,Pixel Art,Adventure,2018,83.0,324683,18858,14.99,0
200109,IndieGame_0109,Low Poly,Puzzle,2016,79.7,72540,2580,7.99,0
200110,IndieGame_0110,Cartoon,Action,2019,76.8,32419,1513,7.99,0
200111,IndieGame_0111,Minimalist,Adventure,2017,87.4,628236,19194,14.99,0
200112,IndieGame_0112,Low Poly,RPG,2024,79.8,61535,1708,12.99,0
200113,IndieGame_0113,Hand-Drawn,Horror,2023,69.6,181140,5499,0.0,1
200114,IndieGame_0114,Hand-Drawn,Platformer,2022,90.7,34701,1056,4.99,0
200115,IndieGame_0115,Minimalist,Puzzle,2024,88.9,100496,3739,7.99,0
200116,IndieGame_0116,Voxel,RPG,2023,63.4,55197,2051,2.99,0
200117,IndieGame_0117,Minimalist,Horror,2018,80.4,6731,234,2.99,0
200118,IndieGame_0118,Low Poly,Roguelike,2024,81.8,651171,10900,0.0,1
200119,IndieGame_0119,Realistic,Adventure,2021,67.9,211756,7369,9.99,0
200120,IndieGame_0120,Hand-Drawn,Puzzle,2023,92.7,44702,824,4.99,0
200121,IndieGame_0121,Pixel Art,Action,2024,100.0,22644,369,0.0,1
200122,IndieGame_0122,Low Poly,Roguelike,2019,67.1,88015,4984,4.99,0
200123,IndieGame_0123,Voxel,Horror,2017,57.2,42166,1697,12.99,0
200124,IndieGame_0124,Pixel Art,Roguelike,2018,81.0,130249,5597,14.99,0
200125,IndieGame_0125,Minimalist,Simulation,2020,87.2,81800,2461,7.99,0
200126,IndieGame_0126,Pixel Art,Platformer,2023,75.7,156044,8652,7.99,0
200127,IndieGame_0127,Low Poly,Horror,2024,89.5,329379,13799,19.99,0
200128,IndieGame_0128,Pixel Art,Roguelike,2015,64.6,168069,8144,2.99,0
200129,IndieGame_0129,Hand-Drawn,Adventure,2021,88.9,20431,580,2.99,0
200130,IndieGame_0130,Realistic,Platformer,2020,63.9,230843,13389,4.99,0
200131,IndieGame_0131,Hand-Drawn,Puzzle,2018,99.2,515637,26309,2.99,0
200132,IndieGame_0132,Minimalist,Simulation,2017,99.9,2855080,150455,4.99,0
200133,IndieGame_0133,Realistic,Horror,2019,62.3,11686,217,14.99,0
200134,IndieGame_0134,Psychedelic,RPG,2024,67.5,53535,1260,9.99,0
200135,IndieGame_0135,Pixel Art,Platformer,2019,86.6,6987,169,7.99,0
200136,IndieGame_0136,Hand-Drawn,Action,2021,78.1,139832,3292,14.99,0
200137,IndieGame_0137,Pixel Art,Adventure,2022,77.5,44027,2323,0.0,1
200138,IndieGame_0138,Voxel,Horror,2019,71.3,382114,4430,2.99,0
200139,IndieGame_0139,Psychedelic,Action,2025,53.8,15789,217,9.99,0
200140,IndieGame_0140,Low Poly,Platformer,2025,74.9,7640,181,9.99,0
200141,IndieGame_0141,Cartoon,Horror,2018,69.1,44309,885,0.0,1
200142,IndieGame_0142,Low Poly,Simulation,2021,70.1,5418,116,7.99,0
200143,IndieGame_0143,Minimalist,RPG,2019,94.4,160085,7987,9.99,0
200144,IndieGame_0144,Pixel Art,RPG,2019,65.4,7131,272,9.99,0
200145,IndieGame_0145,Realistic,Action,2015,78.1,46563,479,9.99,0
200146,IndieGame_0146,Pixel Art,Puzzle,2022,75.2,7023,220,4.99,0
200147,IndieGame_0147,Cartoon,Puzzle,2021,73.2,53109,1614,0.99,0
200148,IndieGame_0148,Realistic,Simulation,2016,77.9,323343,5075,7.99,0
200149,IndieGame_0149,Minimalist,RPG,2019,83.4,100199,4389,0.99,0
200150,IndieGame_0150,Pixel Art,Action,2024,83.7,30158,1360,14.99,0
200151,IndieGame_0151,Pixel Art,Action,2018,87.7,81876,3769,7.99,0
200152,IndieGame_0152,Pixel Art,Horror,2017,74.7,86857,4032,4.99,0
200153,IndieGame_0153,Hand-Drawn,Horror,2021,75.9,126953,1269,12.99,0
200154,IndieGame_0154,Pixel Art,Action,2025,67.1,16484,951,7.99,0
200155,IndieGame_0155,Psychedelic,Horror,2018,64.7,81447,4130,4.99,0
200156,IndieGame_0156,Low Poly,Platformer,2022,100.0,2259,124,12.99,0
200157,IndieGame_0157,Pixel Art,Horror,2023,90.4,39916,430,14.99,0
200158,IndieGame_0158,Hand-Drawn,Simulation,2018,68.5,40074,2271,9.99,0
200159,IndieGame_0159,Hand-Drawn,Puzzle,2023,68.8,153954,7773,0.0,1
200160,IndieGame_0160,Low Poly,Puzzle,2019,79.8,59596,3090,9.99,0
200161,IndieGame_0161,Low Poly,Platformer,2022,80.5,10737,157,12.99,0
200162,IndieGame_0162,Psychedelic,Adventure,2022,78.5,12266,575,2.99,0
200163,IndieGame_0163,Hand-Drawn,Platformer,2021,79.5,91385,5299,2.99,0
200164,IndieGame_0164,Voxel,Simulation,2016,69.7,34560,1518,14.99,0
200165,IndieGame_0165,Cartoon,Action,2023,79.3,38929,1499,0.0,1
200166,IndieGame_0166,Pixel Art,Platformer,2019,78.9,47734,2734,12.99,0
200167,IndieGame_0167,Psychedelic,Action,2018,50.8,92229,2964,7.99,0
200168,IndieGame_0168,Pixel Art,Simulation,2016,75.7,45669,1825,7.99,0
200169,IndieGame_0169,Cartoon,Roguelike,2021,67.5,70175,2373,0.0,1
200170,IndieGame_0170,Hand-Drawn,Simulation,2022,83.8,973200,55124,12.99,0
200171,IndieGame_0171,Cartoon,RPG,2015,100.0,14129,195,4.99,0
200172,IndieGame_0172,Cartoon,Action,2021,79.7,8452,296,9.99,0
200173,IndieGame_0173,Cartoon,Puzzle,2018,72.9,199739,8857,9.99,0
200174,IndieGame_0174,Realistic,Platformer,2022,79.2,19931,988,9.99,0
200175,IndieGame_0175,Pixel Art,Roguelike,2017,82.8,58018,2271,19.99,0
200176,IndieGame_0176,Pixel Art,Simulation,2022,82.2,33290,1845,9.99,0
200177,IndieGame_0177,Hand-Drawn,Action,2020,88.1,52715,3010,7.99,0
200178,IndieGame_0178,Pixel Art,Roguelike,2024,98.6,578765,7648,19.99,0
200179,IndieGame_0179,Minimalist,Adventure,2017,68.7,170194,5125,9.99,0
200180,IndieGame_0180,Hand-Drawn,RPG,2019,86.7,202620,2263,4.99,0
200181,IndieGame_0181,Voxel,Adventure,2017,61.7,6945,183,0.99,0
200182,IndieGame_0182,Minimalist,Simulation,2024,85.6,16329,601,12.99,0
200183,IndieGame_0183,Cartoon,Adventure,2024,66.8,2585,143,4.99,0
200184,IndieGame_0184,Pixel Art,Adventure,2018,73.8,32181,1683,9.99,0
200185,IndieGame_0185,Cartoon,RPG,2022,73.0,245857,4025,7.99,0
200186,IndieGame_0186,Psychedelic,RPG,2023,82.8,74382,1089,2.99,0
200187,IndieGame_0187,Hand-Drawn,Horror,2021,91.2,55193,2178,9.99,0
200188,IndieGame_0188,Low Poly,RPG,2021,62.5,56468,2067,0.0,1
200189,IndieGame_0189,Realistic,Roguelike,2018,70.5,19687,459,7.99,0
200190,IndieGame_0190,Pixel Art,Horror,2016,70.9,108675,5974,9.99,0
200191,IndieGame_0191,Low Poly,RPG,2024,62.4,145401,8196,7.99,0
200192,IndieGame_0192,Hand-Drawn,Adventure,2024,79.8,10356,312,12.99,0
200193,IndieGame_0193,Pixel Art,Puzzle,2022,74.9,121781,6638,12.99,0
200194,IndieGame_0194,Hand-Drawn,Puzzle,2019,100.0,220431,6436,12.99,0
200195,IndieGame_0195,Pixel Art,Horror,2019,82.3,51652,2419,0.0,1
200196,IndieGame_0196,Pixel Art,RPG,2023,64.2,197056,6659,2.99,0
200197,IndieGame_0197,Pixel Art,Roguelike,2024,72.4,2490494,40169,9.99,0
200198,IndieGame_0198,Voxel,Platformer,2024,81.2,33527,1890,14.99,0
200199,IndieGame_0199,Low Poly,Action,2023,95.9,92982,3040,12.99,0
200200,IndieGame_0200,Voxel,Simulation,2022,55.1,15672,732,12.99,0
200201,IndieGame_0201,Hand-Drawn,Roguelike,2016,63.2,89493,2537,4.99,0
200202,IndieGame_0202,Pixel Art,Platformer,2017,96.7,147669,1616,7.99,0
200203,IndieGame_0203,Low Poly,Simulation,2024,78.9,73277,1101,7.99,0
200204,IndieGame_0204,Hand-Drawn,Platformer,2022,73.3,21179,737,2.99,0
200205,IndieGame_0205,Pixel Art,Platformer,2015,83.3,108884,4845,0.0,1
200206,IndieGame_0206,Minimalist,Horror,2017,53.6,375786,10047,14.99,0
200207,IndieGame_0207,Pixel Art,Puzzle,2022,78.0,145621,6520,4.99,0
200208,IndieGame_0208,Low Poly,Action,2015,78.3,183980,8266,4.99,0
200209,IndieGame_0209,Minimalist,Platformer,2017,89.2,48909,2210,0.99,0
200210,IndieGame_0210,Pixel Art,RPG,2021,67.9,209041,7238,14.99,0
200211,IndieGame_0211,Pixel Art,Simulation,2022,78.9,118839,6624,9.99,0
200212,IndieGame_0212,Realistic,Roguelike,2022,60.7,14376,495,9.99,0
200213,IndieGame_0213,Hand-Drawn,Puzzle,2018,84.6,105519,3430,14.99,0
200214,IndieGame_0214,Pixel Art,Simulation,2022,69.0,25857,516,4.99,0
200215,IndieGame_0215,Voxel,Horror,2018,66.9,17780,451,9.99,0
200216,IndieGame_0216,Pixel Art,RPG,2019,68.0,106681,1292,0.0,1
200217,IndieGame_0217,Minimalist,RPG,2023,86.5,92858,3870,2.99,0
200218,IndieGame_0218,Voxel,Platformer,2022,79.6,9120,204,12.99,0
200219,IndieGame_0219,Pixel Art,RPG,2024,75.7,301097,7589,12.99,0
200220,IndieGame_0220,Pixel Art,Action,2022,78.4,168858,8196,4.99,0
200221,IndieGame_0221,Pixel Art,Horror,2021,63.5,36487,961,4.99,0
200222,IndieGame_0222,Pixel Art,RPG,2016,75.0,13430,296,9.99,0
200223,IndieGame_0223,Pixel Art,Platformer,2019,77.5,71433,1318,0.0,1
200224,IndieGame_0224,Minimalist,Simulation,2018,100.0,38063,1855,4.99,0
200225,IndieGame_0225,Pixel Art,Horror,2018,66.9,97360,1605,2.99,0
200226,IndieGame_0226,Low Poly,RPG,2025,89.6,37513,1226,4.99,0
200227,IndieGame_0227,Voxel,Puzzle,2020,81.0,3416,120,12.99,0
200228,IndieGame_0228,Cartoon,Horror,2024,78.8,48944,2171,4.99,0
200229,IndieGame_0229,Low Poly,Horror,2022,92.6,40193,1674,2.99,0
200230,IndieGame_0230,Pixel Art,Roguelike,2023,81.7,181824,9188,7.99,0
200231,IndieGame_0231,Minimalist,Puzzle,2021,83.9,28121,344,14.99,0
200232,IndieGame_0232,Low Poly,Puzzle,2021,74.5,434785,10792,4.99,0
200233,IndieGame_0233,Hand-Drawn,Simulation,2021,94.2,7262,174,0.0,1
200234,IndieGame_0234,Pixel Art,Adventure,2018,89.0,409956,7092,4.99,0
200235,IndieGame_0235,Cartoon,Roguelike,2023,69.7,59592,1457,12.99,0
200236,IndieGame_0236,Hand-Drawn,Puzzle,2019,68.8,201979,5148,9.99,0
200237,IndieGame_0237,Pixel Art,Puzzle,2015,76.0,93542,3376,12.99,0
200238,IndieGame_0238,Hand-Drawn,Adventure,2022,74.0,282628,12205,19.99,0
200239,IndieGame_0239,Hand-Drawn,Simulation,2017,81.4,45233,1314,12.99,0
200240,IndieGame_0240,Cartoon,Roguelike,2024,88.4,20871,959,9.99,0
200241,IndieGame_0241,Realistic,Puzzle,2025,65.4,247464,6634,7.99,0
200242,IndieGame_0242,Realistic,Platformer,2024,69.6,39270,962,0.0,1
200243,IndieGame_0243,Pixel Art,Simulation,2020,78.6,110888,4109,19.99,0
200244,IndieGame_0244,Hand-Drawn,Roguelike,2015,90.5,316830,3544,7.99,0
200245,IndieGame_0245,Hand-Drawn,Puzzle,2024,59.5,20870,291,2.99,0
200246,IndieGame_0246,Pixel Art,Puzzle,2020,71.9,173684,5366,9.99,0
200247,IndieGame_0247,Pixel Art,Adventure,2025,80.1,41878,2393,4.99,0
200248,IndieGame_0248,Realistic,Roguelike,2025,82.0,38400,1769,9.99,0
200249,IndieGame_0249,Pixel Art,Platformer,2024,73.1,92701,1335,9.99,0
200250,IndieGame_0250,Low Poly,Simulation,2019,56.2,9584,501,7.99,0
200251,IndieGame_0251,Pixel Art,RPG,2020,84.2,33383,1556,12.99,0
200252,IndieGame_0252,Pixel Art,Action,2024,71.6,430066,17438,4.99,0
200253,IndieGame_0253,Pixel Art,Platformer,2019,66.1,246184,12558,7.99,0
200254,IndieGame_0254,Voxel,RPG,2017,64.8,35248,1064,9.99,0
200255,IndieGame_0255,Cartoon,Platformer,2021,74.2,104423,2200,9.99,0
200256,IndieGame_0256,Voxel,Roguelike,2024,65.0,26695,950,12.99,0
200257,IndieGame_0257,Hand-Drawn,RPG,2022,59.9,366708,13730,7.99,0
200258,IndieGame_0258,Pixel Art,Roguelike,2021,87.0,66835,2467,9.99,0
200259,IndieGame_0259,Low Poly,RPG,2016,87.7,76604,2930,2.99,0
200260,IndieGame_0260,Hand-Drawn,Platformer,2022,88.5,284832,16359,14.99,0
200261,IndieGame_0261,Cartoon,Adventure,2025,64.6,30687,1691,7.99,0
200262,IndieGame_0262,Pixel Art,Platformer,2017,76.0,551806,29679,9.99,0
200263,IndieGame_0263,Hand-Drawn,Roguelike,2021,81.9,11474,574,0.0,1
200264,IndieGame_0264,Pixel Art,Platformer,2024,84.0,600775,34347,2.99,0
200265,IndieGame_0265,Hand-Drawn,Horror,2023,88.7,46037,687,7.99,0
200266,IndieGame_0266,Realistic,Horror,2022,62.7,33630,782,14.99,0
200267,IndieGame_0267,Hand-Drawn,RPG,2022,82.8,7453,259,7.99,0
200268,IndieGame_0268,Hand-Drawn,Horror,2019,86.6,41717,2182,14.99,0
200269,IndieGame_0269,Hand-Drawn,Action,2019,96.6,20674,728,7.99,0
200270,IndieGame_0270,Hand-Drawn,RPG,2023,89.0,34726,1646,7.99,0
200271,IndieGame_0271,Realistic,Horror,2023,77.9,38163,646,0.99,0
200272,IndieGame_0272,Cartoon,Puzzle,2024,76.8,246178,5568,12.99,0
200273,IndieGame_0273,Voxel,Platformer,2024,85.1,48750,2271,4.99,0
200274,IndieGame_0274,Realistic,Simulation,2021,74.1,65096,1187,14.99,0
200275,IndieGame_0275,Pixel Art,Platformer,2021,69.4,22828,629,14.99,0
200276,IndieGame_0276,Minimalist,Horror,2023,94.0,22589,525,14.99,0
200277,IndieGame_0277,Hand-Drawn,Adventure,2022,89.0,623367,17138,7.99,0
200278,IndieGame_0278,Pixel Art,Roguelike,2022,73.6,35177,1597,9.99,0
200279,IndieGame_0279,Cartoon,Simulation,2023,71.2,569158,16159,12.99,0
200280,IndieGame_0280,Pixel Art,RPG,2024,81.0,63496,2397,2.99,0
200281,IndieGame_0281,Psychedelic,Adventure,2019,77.6,40109,601,9.99,0
200282,IndieGame_0282,Hand-Drawn,Platformer,2020,84.0,260109,13070,0.0,1
200283,IndieGame_0283,Minimalist,Horror,2016,83.1,299064,8521,7.99,0
200284,IndieGame_0284,Minimalist,RPG,2021,97.0,56906,2414,2.99,0
200285,IndieGame_0285,Cartoon,RPG,2015,86.7,48950,2264,2.99,0
200286,IndieGame_0286,Minimalist,Puzzle,2020,81.9,60781,1244,4.99,0
200287,IndieGame_0287,Low Poly,Puzzle,2021,84.4,87007,4718,7.99,0
200288,IndieGame_0288,Pixel Art,Horror,2019,67.7,247699,10108,9.99,0
200289,IndieGame_0289,Low Poly,Horror,2021,79.0,58295,1832,0.0,1
200290,IndieGame_0290,Pixel Art,Action,2015,96.1,178629,3414,7.99,0
200291,IndieGame_0291,Realistic,Puzzle,2015,67.8,321402,18356,2.99,0
200292,IndieGame_0292,Low Poly,Roguelike,2023,66.5,91653,4376,9.99,0
200293,IndieGame_0293,Minimalist,Simulation,2019,73.5,94478,1927,9.99,0
200294,IndieGame_0294,Pixel Art,RPG,2017,67.1,13735,369,9.99,0
200295,IndieGame_0295,Pixel Art,Puzzle,2021,70.2,3617,182,12.99,0
200296,IndieGame_0296,Minimalist,Horror,2023,76.3,103589,4639,4.99,0
200297,IndieGame_0297,Pixel Art,Action,2018,63.9,75857,3663,12.99,0
200298,IndieGame_0298,Pixel Art,Horror,2022,78.2,45828,1469,7.99,0
200299,IndieGame_0299,Pixel Art,Horror,2016,87.0,113850,5217,7.99,0
200300,IndieGame_0300,Voxel,Horror,2016,61.9,35343,1036,9.99,0
200301,IndieGame_0301,Realistic,Platformer,2021,85.2,174164,3581,0.0,1
200302,IndieGame_0302,Hand-Drawn,Simulation,2021,87.1,79837,3323,9.99,0
200303,IndieGame_0303,Pixel Art,Puzzle,2022,88.3,34686,2039,9.99,0
200304,IndieGame_0304,Hand-Drawn,RPG,2023,75.4,236244,6031,4.99,0
200305,IndieGame_0305,Realistic,Platformer,2025,78.5,34677,1146,0.99,0
200306,IndieGame_0306,Minimalist,Horror,2021,69.1,122269,5343,0.99,0
200307,IndieGame_0307,Pixel Art,Roguelike,2019,86.9,47930,1777,14.99,0
200308,IndieGame_0308,Pixel Art,RPG,2023,79.7,38972,2033,9.99,0
200309,IndieGame_0309,Pixel Art,Platformer,2019,83.5,94033,4521,0.99,0
200310,IndieGame_0310,Minimalist,Roguelike,2020,68.2,66008,852,4.99,0
200311,IndieGame_0311,Realistic,Roguelike,2016,61.0,80034,4795,9.99,0
200312,IndieGame_0312,Pixel Art,Simulation,2015,84.0,61576,2932,12.99,0
200313,IndieGame_0313,Pixel Art,RPG,2025,68.5,9384,499,0.0,1
200314,IndieGame_0314,Pixel Art,Puzzle,2023,82.6,50568,2152,4.99,0
200315,IndieGame_0315,Voxel,Puzzle,2022,57.3,98511,5202,14.99,0
200316,IndieGame_0316,Pixel Art,Action,2020,86.5,59489,929,0.0,1
200317,IndieGame_0317,Realistic,Platformer,2017,57.7,33481,916,2.99,0
200318,IndieGame_0318,Minimalist,Action,2017,85.5,212308,11426,19.99,0
200319,IndieGame_0319,Hand-Drawn,Adventure,2018,88.3,30639,615,9.99,0
200320,IndieGame_0320,Pixel Art,Puzzle,2021,71.0,13346,185,4.99,0
200321,IndieGame_0321,Pixel Art,Platformer,2022,83.8,70097,3463,0.0,1
200322,IndieGame_0322,Low Poly,Simulation,2022,77.6,32441,1679,0.0,1
200323,IndieGame_0323,Realistic,Action,2019,64.6,14113,255,4.99,0
200324,IndieGame_0324,Minimalist,Simulation,2025,69.9,52664,2776,14.99,0
200325,IndieGame_0325,Low Poly,Simulation,2023,55.4,104611,4638,7.99,0
200326,IndieGame_0326,Pixel Art,Horror,2021,81.5,84057,3026,9.99,0
200327,IndieGame_0327,Voxel,Horror,2022,55.4,54924,2829,14.99,0
